age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
44.0,JobCat9,,secondary,no,29.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
47.0,JobCat3,married,unknown,no,1506.0,yes,,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
31.0,unknown,single,unknown,no,1.0,no,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
26.0,JobCat6,single,tertiary,no,447.0,yes,yes,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
42.0,JobCat4,divorced,tertiary,,2.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,TypeA
58.0,JobCat2,married,,no,121.0,yes,no,unknown,5.0,,0.0,1.0,-1.0,0.0,unknown,TypeA
41.0,JobCat11,divorced,secondary,,270.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,,unknown,TypeA
58.0,JobCat9,,unknown,,71.0,yes,no,unknown,5.0,may,0.0,,,0.0,unknown,TypeA
51.0,,married,primary,no,,,no,unknown,5.0,may,0.0,1.0,-1.0,,unknown,TypeA
,JobCat11,single,unknown,no,13.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
31.0,JobCat7,married,secondary,no,0.0,,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,TypeA
26.0,JobCat3,married,,no,723.0,yes,yes,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
56.0,JobCat6,married,tertiary,no,779.0,yes,no,unknown,,may,0.0,1.0,,0.0,unknown,TypeA
30.0,JobCat3,single,,no,23.0,yes,yes,,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
23.0,JobCat7,married,secondary,no,50.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
40.0,JobCat2,married,,no,0.0,yes,yes,,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
44.0,JobCat11,married,secondary,no,-372.0,yes,no,unknown,5.0,may,0.0,1.0,,0.0,unknown,TypeA
52.0,,married,secondary,no,,yes,yes,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
46.0,JobCat6,single,secondary,no,-246.0,yes,no,unknown,5.0,may,0.0,,-1.0,0.0,unknown,TypeA
34.0,JobCat9,,secondary,no,265.0,yes,yes,unknown,5.0,may,0.0,1.0,,0.0,unknown,TypeA
49.0,JobCat6,married,tertiary,no,378.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
57.0,JobCat9,divorced,secondary,no,63.0,yes,no,unknown,5.0,may,,1.0,-1.0,,unknown,TypeA
23.0,JobCat3,married,secondary,no,,yes,no,unknown,5.0,may,0.0,1.0,,0.0,unknown,TypeA
53.0,JobCat9,,secondary,,-3.0,no,no,unknown,5.0,may,0.0,1.0,,0.0,unknown,TypeA
34.0,JobCat11,divorced,secondary,no,506.0,yes,no,unknown,,may,0.0,1.0,-1.0,0.0,unknown,TypeA
44.0,JobCat7,,secondary,no,2586.0,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
50.0,,married,secondary,no,49.0,yes,no,unknown,5.0,may,0.0,2.0,-1.0,0.0,unknown,TypeA
54.0,JobCat2,married,secondary,no,,yes,no,unknown,5.0,may,0.0,1.0,-1.0,0.0,unknown,TypeA
